regime,corpus,lang,length,unit_id,source_url,text_sha256
P1,nep_wikipedia_2021_100K,nep,L20,106,http://ne.wikipedia.org/wiki/दशरथ_रङ्गशाला,1e01f5b7a3e8b34f6203b212e4e126e3255b2b69247ccd2a01b77e3eaa24df53
P1,nep_wikipedia_2021_100K,nep,L20,107,http://ne.wikipedia.org/wiki/बेअर_ग्रिल्स,01836db8b8347512cdf261fe1bb4a582938f690fe7b27b7a4f0c7e9c300e98fe
P1,nep_wikipedia_2021_100K,nep,L20,108,http://ne.wikipedia.org/wiki/फापरथुम,f59c07aa1e5b9eb6a4e1029ba7d877522b5aca2e677514931d802762867ad683
P1,nep_wikipedia_2021_100K,nep,L20,109,http://ne.wikipedia.org/wiki/१९८९_(टेलर_स्विफ्टको_एल्बम),d0de4074b2747eede3ec66514a91e4ea80d09632b0ca643846f286d857dc1f03
P1,nep_wikipedia_2021_100K,nep,L20,110,http://ne.wikipedia.org/wiki/किराँत_जाति,dd68989649099935de1b2291578196ac7e86d17ac3188402d4753d7a8cf48ec5
P1,nep_wikipedia_2021_100K,nep,L20,111,http://ne.wikipedia.org/wiki/हरिद्वार,cc23877deb9c92c852abd3ae7a9c425f1412275546ae20a739e2a49e668f659a
P1,nep_wikipedia_2021_100K,nep,L20,112,http://ne.wikipedia.org/wiki/सासा_बेङ्क्स,92e972a20df7d711b0839ef50c8168c60ed68fbd64327e733bfce5abcd729881
P1,nep_wikipedia_2021_100K,nep,L20,113,http://ne.wikipedia.org/wiki/ऊर्जा,eafc4cd1da5405e97d1c65e75e5a462a54b5591aae5f2a403d72837c76885f0c
P1,nep_wikipedia_2021_100K,nep,L20,114,http://ne.wikipedia.org/wiki/प्रकाश_संश्लेषण,97c10e56c9da195458d15e8d599ae9d40af4185eadab1f0355472803161bbf60
P1,nep_wikipedia_2021_100K,nep,L20,115,http://ne.wikipedia.org/wiki/भ्लादिमिर_लेनिन,6fc95188bd64813c127d0528225fd00ee349e772cf1e177d442a8c2c0785a32b
P1,nep_wikipedia_2021_100K,nep,L20,116,http://ne.wikipedia.org/wiki/गुरुङ_जाति,9069fb15bcf3ca2f7466ea80cb3ad39eb40b8158df7626f89d536d58b5347250
P1,nep_wikipedia_2021_100K,nep,L20,117,http://ne.wikipedia.org/wiki/फिफा_विश्वकप,e7a5126373d76da4236421204da52463af83c2a860c5e1ad063ebbe2455501ce
P1,nep_wikipedia_2021_100K,nep,L20,118,http://ne.wikipedia.org/wiki/विश्वकप_फुटबल_२०१०_का_खेलहरू,cf88680edc02bc3eeab10102d609723b316ea55a87bcedc77988cbe88785b424
